id,dataset_name,category,file_size_mb,source,last_update
93,"Standardized Test Results (Middle East, 2016-2024)",Education,6254.12,Government Open Data,2018-02-05
94,"Water Pollution Levels (Middle East, 2021-2024)",Environment,2604.04,Kaggle,2018-01-28
95,"Global Stock Prices (EU, 2017-2025)",Finance,5289.19,Public API,2020-05-25
96,"Carbon Emissions Data (Asia, 2018-2023)",Environment,2125.13,Kaggle,2021-11-28
97,"Flight Delay Statistics (Global, 2016-2025)",Transportation,519.08,Public API,2024-09-09
98,"Software Bug Reports (Global, 2017-2025)",Technology,3815.82,Kaggle,2020-10-11
99,"Global Stock Prices (Global, 2021-2025)",Finance,5858.79,Public API,2023-09-27
100,"Clinical Trial Outcomes (Middle East, 2015-2023)",Healthcare,6661.5,Internal Analytics Team,2023-11-16
101,"University Graduation Rates (Middle East, 2021-2025)",Education,6644.63,Public API,2022-05-04
102,"Water Pollution Levels (Asia, 2019-2025)",Environment,332.55,Research Institute,2018-06-05
103,"Cloud Server Performance Logs (Middle East, 2019-2023)",Technology,1742.41,Government Open Data,2018-05-08
104,"Road Accident Reports (US, 2022-2023)",Transportation,3603.24,Government Open Data,2021-09-19
105,"Bank Loan Defaults (Asia, 2016-2023)",Finance,6052.62,Internal Analytics Team,2023-06-23
106,"Flight Delay Statistics (US, 2020-2023)",Transportation,6193.67,Internal Analytics Team,2018-11-12
107,"Road Accident Reports (EU, 2020-2023)",Transportation,4622.81,Public API,2019-12-29
108,"University Graduation Rates (Middle East, 2018-2023)",Education,4450.24,Kaggle,2020-01-02
109,"Disease Incidence Records (US, 2022-2025)",Healthcare,7134.07,Internal Analytics Team,2019-12-16
110,"Student Enrollment Statistics (EU, 2020-2023)",Education,7565.72,Research Institute,2023-07-24
111,"Bank Loan Defaults (Asia, 2015-2023)",Finance,1337.06,Government Open Data,2022-11-18
112,"Clinical Trial Outcomes (Asia, 2020-2023)",Healthcare,7399.81,Research Institute,2021-07-30
113,"Daily Sales Transactions (Global, 2019-2023)",Retail,6589.95,Internal Analytics Team,2023-06-18
114,"Medical Insurance Claims (EU, 2015-2024)",Healthcare,6801.71,Internal Analytics Team,2024-12-01
115,"Road Accident Reports (Middle East, 2020-2024)",Transportation,3286.61,Internal Analytics Team,2023-05-01
116,"Customer Purchase History (Middle East, 2015-2025)",Retail,5529.51,Government Open Data,2024-10-12
117,"Public Transit Ridership (Asia, 2021-2023)",Transportation,476.35,Research Institute,2021-01-19
118,"Air Quality Measurements (EU, 2018-2024)",Environment,7992.16,Internal Analytics Team,2018-05-07
119,"Medical Insurance Claims (US, 2018-2025)",Healthcare,462.72,Internal Analytics Team,2019-02-27
120,"AI Model Training Metrics (US, 2022-2025)",Technology,7067.0,Government Open Data,2021-08-18
121,"Cryptocurrency Transactions (Asia, 2020-2025)",Finance,730.71,Research Institute,2018-11-02
122,"Air Quality Measurements (Asia, 2019-2023)",Environment,1144.67,Government Open Data,2019-02-26
123,"Road Accident Reports (EU, 2015-2023)",Transportation,1452.89,Government Open Data,2024-03-20
124,"Product Pricing Trends (Middle East, 2018-2025)",Retail,7363.11,Government Open Data,2021-11-25
125,"Cryptocurrency Transactions (US, 2020-2023)",Finance,5576.05,Research Institute,2022-06-21
126,"Customer Purchase History (Middle East, 2020-2024)",Retail,3620.11,Internal Analytics Team,2023-08-08
127,"Cloud Server Performance Logs (EU, 2017-2023)",Technology,1765.34,Government Open Data,2022-10-16
128,"Inventory Stock Levels (Asia, 2016-2025)",Retail,6144.62,Public API,2018-07-02
129,"School Performance Index (Middle East, 2021-2024)",Education,1472.05,Internal Analytics Team,2024-02-02
130,"Standardized Test Results (Asia, 2019-2024)",Education,4821.42,Public API,2021-11-26
131,"School Performance Index (Asia, 2021-2024)",Education,5288.1,Kaggle,2021-11-16
132,"Student Enrollment Statistics (Middle East, 2020-2023)",Education,4229.18,Kaggle,2019-05-21
133,"Public Health Surveillance (EU, 2017-2024)",Healthcare,2713.18,Research Institute,2018-04-01
134,"Standardized Test Results (Global, 2021-2025)",Education,1770.2,Kaggle,2019-05-09
135,"Internet Traffic Statistics (US, 2018-2024)",Technology,1498.17,Public API,2024-12-22
136,"Bank Loan Defaults (EU, 2021-2024)",Finance,5056.67,Kaggle,2019-06-05
137,"Student Enrollment Statistics (Asia, 2018-2025)",Education,1275.42,Internal Analytics Team,2020-07-25
138,"Medical Insurance Claims (Asia, 2021-2023)",Healthcare,483.35,Government Open Data,2024-01-11
139,"Daily Sales Transactions (Middle East, 2016-2023)",Retail,7937.98,Kaggle,2024-07-20
140,"Consumer Credit Scores (Asia, 2020-2023)",Finance,6166.24,Public API,2024-06-30
141,"Flight Delay Statistics (Middle East, 2015-2023)",Transportation,781.34,Public API,2018-01-21
142,"Student Enrollment Statistics (Global, 2016-2025)",Education,6953.1,Kaggle,2024-11-28
143,"Public Transit Ridership (Global, 2020-2024)",Transportation,1144.91,Internal Analytics Team,2024-06-17
144,"School Performance Index (Global, 2015-2025)",Education,3186.58,Internal Analytics Team,2019-08-23
145,"Customer Purchase History (Global, 2016-2023)",Retail,1648.16,Government Open Data,2018-09-19
146,"Road Accident Reports (Middle East, 2020-2025)",Transportation,2432.19,Kaggle,2022-01-16
147,"Internet Traffic Statistics (EU, 2018-2023)",Technology,7145.09,Research Institute,2022-08-17
148,"Water Pollution Levels (EU, 2015-2023)",Environment,1796.33,Government Open Data,2021-10-27
149,"Mobile App Usage Analytics (EU, 2015-2023)",Technology,2357.29,Kaggle,2023-02-13
150,"Daily Sales Transactions (Asia, 2016-2023)",Retail,3778.13,Government Open Data,2021-09-21
151,"Cryptocurrency Transactions (Global, 2016-2023)",Finance,6095.98,Kaggle,2020-10-14
152,"Software Bug Reports (Global, 2018-2024)",Technology,6501.9,Research Institute,2023-01-08
153,"Clinical Trial Outcomes (US, 2017-2024)",Healthcare,6612.18,Kaggle,2019-06-06
154,"Road Accident Reports (US, 2020-2023)",Transportation,6455.71,Government Open Data,2019-05-12
155,"School Performance Index (US, 2019-2025)",Education,2876.64,Government Open Data,2023-08-16
156,"Road Accident Reports (Middle East, 2019-2024)",Transportation,105.1,Internal Analytics Team,2024-09-02
157,"Product Pricing Trends (EU, 2015-2023)",Retail,7932.52,Research Institute,2020-05-01
158,"Water Pollution Levels (Global, 2017-2025)",Environment,3231.1,Research Institute,2022-04-17
159,"Bank Loan Defaults (US, 2018-2024)",Finance,4104.34,Kaggle,2018-04-06
160,"Water Pollution Levels (Middle East, 2020-2025)",Environment,2607.57,Kaggle,2021-05-25
161,"Customer Purchase History (Middle East, 2018-2023)",Retail,4526.06,Internal Analytics Team,2023-05-04
162,"Public Transit Ridership (Middle East, 2020-2023)",Transportation,737.75,Research Institute,2018-01-27
163,"Public Transit Ridership (US, 2018-2024)",Transportation,689.65,Research Institute,2021-06-06
164,"Climate Temperature Records (EU, 2018-2024)",Environment,17.73,Research Institute,2021-01-14
165,"Water Pollution Levels (Middle East, 2019-2023)",Environment,5118.74,Research Institute,2021-01-13
166,"Road Accident Reports (Middle East, 2022-2023)",Transportation,6883.93,Public API,2021-12-07
167,"Water Pollution Levels (EU, 2017-2024)",Environment,6637.87,Kaggle,2023-10-28
168,"Water Pollution Levels (EU, 2022-2025)",Environment,1613.53,Internal Analytics Team,2019-09-14
169,"Clinical Trial Outcomes (Global, 2021-2024)",Healthcare,1085.2,Kaggle,2020-10-30
170,"Wildlife Population Surveys (Asia, 2018-2024)",Environment,1267.91,Internal Analytics Team,2018-08-13
171,"Public Transit Ridership (Middle East, 2015-2024)",Transportation,3009.17,Internal Analytics Team,2022-10-27
172,"Disease Incidence Records (Middle East, 2021-2025)",Healthcare,3446.96,Kaggle,2019-02-16
173,"Bank Loan Defaults (US, 2022-2023)",Finance,6869.25,Research Institute,2024-12-17
174,"Online Course Participation (US, 2020-2023)",Education,5433.15,Kaggle,2021-09-10
175,"School Performance Index (Global, 2018-2025)",Education,5368.61,Kaggle,2020-10-09
176,"Bank Loan Defaults (Middle East, 2018-2025)",Finance,4349.1,Research Institute,2021-12-15
177,"Medical Insurance Claims (Middle East, 2018-2023)",Healthcare,813.77,Public API,2020-05-23
178,"Medical Insurance Claims (US, 2016-2023)",Healthcare,1578.44,Public API,2020-09-24
179,"Public Transit Ridership (Global, 2019-2024)",Transportation,2006.71,Government Open Data,2022-01-21
180,"Public Transit Ridership (Asia, 2015-2024)",Transportation,5159.84,Government Open Data,2024-01-28
181,"Bank Loan Defaults (EU, 2016-2023)",Finance,7831.18,Research Institute,2024-06-21
182,"Wildlife Population Surveys (Asia, 2022-2023)",Environment,687.65,Public API,2022-01-25
183,"Mobile App Usage Analytics (Asia, 2022-2024)",Technology,353.62,Research Institute,2023-12-06
184,"Public Transit Ridership (Global, 2015-2025)",Transportation,4345.62,Research Institute,2022-08-29
185,"Customer Purchase History (EU, 2021-2024)",Retail,4243.21,Public API,2021-05-11
186,"Flight Delay Statistics (EU, 2017-2025)",Transportation,4613.85,Kaggle,2023-12-17
187,"Public Transit Ridership (US, 2015-2023)",Transportation,3785.24,Internal Analytics Team,2019-10-28
188,"Quarterly Revenue Reports (Asia, 2019-2025)",Finance,6795.07,Kaggle,2021-12-23
189,"Public Health Surveillance (EU, 2019-2023)",Healthcare,2043.0,Kaggle,2024-06-28
190,"Cloud Server Performance Logs (Middle East, 2019-2024)",Technology,5219.73,Research Institute,2020-03-06
191,"Vehicle Registration Records (US, 2020-2023)",Transportation,7066.37,Government Open Data,2023-11-25
192,"Online Course Participation (Asia, 2017-2023)",Education,3387.81,Public API,2023-09-16
193,"University Graduation Rates (Asia, 2018-2023)",Education,2969.64,Government Open Data,2020-11-06
194,"Water Pollution Levels (EU, 2015-2024)",Environment,3883.26,Research Institute,2021-09-17
195,"Public Transit Ridership (Asia, 2015-2024)",Transportation,6210.32,Public API,2018-05-03
196,"Student Enrollment Statistics (Global, 2020-2025)",Education,6924.43,Internal Analytics Team,2022-12-21
197,"Vehicle Registration Records (Global, 2018-2025)",Transportation,1483.05,Kaggle,2019-10-26
198,"University Graduation Rates (Asia, 2021-2024)",Education,4684.38,Research Institute,2021-08-25
199,"University Graduation Rates (Asia, 2015-2023)",Education,7157.27,Internal Analytics Team,2022-09-24
200,"Daily Sales Transactions (Asia, 2016-2025)",Retail,3393.99,Government Open Data,2019-04-17
201,"Flight Delay Statistics (Global, 2017-2023)",Transportation,3696.84,Internal Analytics Team,2023-01-11
202,"School Performance Index (Middle East, 2019-2025)",Education,4297.81,Government Open Data,2024-05-27
203,"Consumer Credit Scores (Global, 2021-2023)",Finance,828.94,Research Institute,2018-01-05
204,"Wildlife Population Surveys (Global, 2022-2023)",Environment,506.66,Government Open Data,2022-12-20
205,"Student Enrollment Statistics (US, 2015-2025)",Education,2308.83,Public API,2023-10-16
206,"Water Pollution Levels (Asia, 2019-2025)",Environment,7694.79,Research Institute,2020-10-03
207,"Standardized Test Results (EU, 2017-2025)",Education,7234.05,Public API,2018-05-17
208,"Product Pricing Trends (EU, 2015-2024)",Retail,2384.28,Kaggle,2022-03-19
209,"Carbon Emissions Data (Global, 2020-2024)",Environment,3323.38,Research Institute,2023-08-16
210,"Standardized Test Results (Global, 2015-2024)",Education,5785.67,Government Open Data,2019-01-27
211,"Daily Sales Transactions (EU, 2020-2025)",Retail,7427.33,Internal Analytics Team,2019-09-22
212,"Global Stock Prices (US, 2016-2024)",Finance,7891.73,Research Institute,2020-02-06
213,"Wildlife Population Surveys (Global, 2021-2024)",Environment,7623.41,Kaggle,2019-02-04
214,"Customer Purchase History (EU, 2022-2023)",Retail,489.56,Internal Analytics Team,2022-12-12
215,"Water Pollution Levels (Middle East, 2020-2023)",Environment,183.6,Research Institute,2024-10-27
216,"Software Bug Reports (Middle East, 2019-2023)",Technology,1778.0,Research Institute,2020-10-09
217,"Product Pricing Trends (Asia, 2019-2024)",Retail,1535.43,Public API,2021-08-24
218,"Flight Delay Statistics (US, 2016-2024)",Transportation,2964.24,Internal Analytics Team,2024-10-15
219,"Air Quality Measurements (Global, 2016-2025)",Environment,6287.64,Research Institute,2024-10-14
220,"Hospital Patient Admissions (EU, 2016-2023)",Healthcare,3697.08,Kaggle,2020-05-18
221,"Mobile App Usage Analytics (Asia, 2015-2024)",Technology,2165.27,Research Institute,2020-03-18
222,"University Graduation Rates (Global, 2015-2023)",Education,3419.02,Public API,2021-09-16
223,"Bank Loan Defaults (Asia, 2019-2025)",Finance,58.42,Government Open Data,2018-03-10
224,"Vehicle Registration Records (Middle East, 2015-2023)",Transportation,3523.57,Public API,2020-12-29
225,"Traffic Flow Sensors (Middle East, 2019-2023)",Transportation,6252.24,Government Open Data,2024-02-15
226,"Student Enrollment Statistics (Global, 2015-2025)",Education,1746.39,Public API,2023-08-04
227,"Student Enrollment Statistics (Middle East, 2017-2025)",Education,1148.23,Internal Analytics Team,2023-09-11
228,"Wildlife Population Surveys (US, 2021-2023)",Environment,4712.56,Research Institute,2021-03-09
229,"Medical Insurance Claims (Middle East, 2016-2024)",Healthcare,5829.39,Public API,2023-04-22
230,"Customer Purchase History (Middle East, 2020-2025)",Retail,5951.6,Kaggle,2018-01-14
231,"Hospital Patient Admissions (EU, 2015-2024)",Healthcare,1930.39,Kaggle,2018-03-07
232,"Climate Temperature Records (Global, 2017-2025)",Environment,7703.56,Research Institute,2024-05-03
233,"Disease Incidence Records (EU, 2015-2023)",Healthcare,7802.26,Public API,2019-06-08
234,"Student Enrollment Statistics (Middle East, 2018-2024)",Education,2952.79,Internal Analytics Team,2023-05-09
235,"Wildlife Population Surveys (Global, 2016-2024)",Environment,2999.97,Public API,2022-11-14
236,"Public Health Surveillance (Global, 2021-2023)",Healthcare,7380.99,Kaggle,2019-06-09
237,"Public Transit Ridership (Asia, 2015-2025)",Transportation,1623.88,Kaggle,2020-03-25
238,"Public Health Surveillance (Asia, 2019-2024)",Healthcare,6661.49,Internal Analytics Team,2019-10-29
239,"Consumer Credit Scores (Asia, 2021-2024)",Finance,5549.11,Public API,2024-05-17
240,"Global Stock Prices (Middle East, 2021-2024)",Finance,1413.08,Internal Analytics Team,2021-01-28
241,"Air Quality Measurements (Asia, 2016-2024)",Environment,1999.07,Kaggle,2024-12-11
242,"Student Enrollment Statistics (Asia, 2017-2023)",Education,7989.82,Internal Analytics Team,2018-11-26
243,"Flight Delay Statistics (US, 2015-2025)",Transportation,2998.96,Government Open Data,2023-04-02
244,"AI Model Training Metrics (US, 2017-2023)",Technology,5958.46,Kaggle,2018-07-05
245,"Daily Sales Transactions (EU, 2022-2023)",Retail,6418.03,Public API,2022-04-16
246,"Online Course Participation (EU, 2016-2024)",Education,291.22,Public API,2024-12-18
247,"Quarterly Revenue Reports (EU, 2022-2024)",Finance,5100.58,Internal Analytics Team,2020-05-28
248,"Cloud Server Performance Logs (Asia, 2018-2023)",Technology,5141.04,Research Institute,2021-05-17
249,"Customer Purchase History (US, 2022-2023)",Retail,2561.68,Government Open Data,2022-08-13
250,"Student Enrollment Statistics (US, 2021-2025)",Education,988.22,Research Institute,2022-02-12
251,"Global Stock Prices (US, 2016-2023)",Finance,3701.7,Internal Analytics Team,2024-04-28
252,"Internet Traffic Statistics (Middle East, 2020-2023)",Technology,6115.26,Government Open Data,2018-06-03
253,"Mobile App Usage Analytics (US, 2016-2024)",Technology,2877.45,Kaggle,2023-10-08
254,"Wildlife Population Surveys (Middle East, 2019-2025)",Environment,5224.95,Government Open Data,2020-10-05
255,"Internet Traffic Statistics (Global, 2022-2023)",Technology,301.9,Public API,2023-07-04
256,"Public Health Surveillance (Asia, 2019-2025)",Healthcare,3587.69,Government Open Data,2020-12-10
257,"University Graduation Rates (EU, 2020-2023)",Education,6366.12,Research Institute,2018-01-25
258,"Customer Purchase History (Asia, 2022-2024)",Retail,5522.22,Research Institute,2023-11-07
259,"School Performance Index (US, 2016-2025)",Education,2941.98,Government Open Data,2022-04-29
260,"Inventory Stock Levels (US, 2022-2025)",Retail,670.2,Government Open Data,2018-04-25
261,"Student Enrollment Statistics (Global, 2019-2025)",Education,2975.86,Kaggle,2019-10-05
262,"Medical Insurance Claims (US, 2017-2025)",Healthcare,2187.89,Government Open Data,2018-03-10
263,"Bank Loan Defaults (Asia, 2021-2024)",Finance,7315.76,Public API,2023-01-06
264,"Software Bug Reports (Global, 2020-2025)",Technology,3585.52,Internal Analytics Team,2019-06-14
265,"Disease Incidence Records (US, 2017-2024)",Healthcare,2818.76,Public API,2024-09-23
266,"Bank Loan Defaults (Asia, 2020-2024)",Finance,5919.23,Government Open Data,2024-10-23
267,"Customer Purchase History (Asia, 2018-2023)",Retail,4665.57,Public API,2022-03-02
268,"Cryptocurrency Transactions (EU, 2016-2025)",Finance,2322.34,Internal Analytics Team,2020-02-04
269,"Cryptocurrency Transactions (Middle East, 2019-2025)",Finance,2381.3,Kaggle,2019-10-30
270,"Global Stock Prices (Global, 2018-2025)",Finance,1456.89,Internal Analytics Team,2023-05-04
271,"Bank Loan Defaults (EU, 2018-2023)",Finance,6426.42,Kaggle,2024-07-11
272,"Disease Incidence Records (Middle East, 2016-2024)",Healthcare,2621.27,Research Institute,2022-11-10
273,"Inventory Stock Levels (Asia, 2020-2023)",Retail,4041.61,Kaggle,2022-07-07
274,"Flight Delay Statistics (Middle East, 2016-2023)",Transportation,6847.81,Kaggle,2020-09-13
275,"Clinical Trial Outcomes (EU, 2022-2025)",Healthcare,951.13,Research Institute,2019-09-20
276,"University Graduation Rates (US, 2019-2023)",Education,1043.73,Kaggle,2021-07-27
277,"Water Pollution Levels (EU, 2016-2025)",Environment,4140.82,Kaggle,2018-02-21
278,"Cloud Server Performance Logs (Global, 2017-2024)",Technology,680.66,Kaggle,2018-04-27
279,"School Performance Index (Asia, 2017-2025)",Education,5785.74,Government Open Data,2024-09-29
280,"Vehicle Registration Records (Asia, 2022-2025)",Transportation,5523.5,Research Institute,2020-09-24
281,"Air Quality Measurements (EU, 2015-2024)",Environment,7177.71,Government Open Data,2019-10-12
282,"Quarterly Revenue Reports (Middle East, 2022-2025)",Finance,3785.4,Government Open Data,2018-07-27
283,"Clinical Trial Outcomes (US, 2019-2025)",Healthcare,3673.36,Kaggle,2019-03-13
284,"Air Quality Measurements (Global, 2017-2023)",Environment,768.71,Public API,2024-11-26
285,"AI Model Training Metrics (Global, 2017-2024)",Technology,2850.75,Government Open Data,2022-01-12
286,"Hospital Patient Admissions (Asia, 2017-2025)",Healthcare,7492.74,Government Open Data,2024-08-15
287,"Clinical Trial Outcomes (EU, 2015-2023)",Healthcare,2295.28,Public API,2020-09-17
288,"Software Bug Reports (Middle East, 2022-2025)",Technology,7474.35,Government Open Data,2021-02-17
289,"Customer Purchase History (US, 2016-2023)",Retail,7433.74,Public API,2020-07-17
290,"Public Transit Ridership (US, 2016-2025)",Transportation,6315.88,Internal Analytics Team,2024-02-01
291,"School Performance Index (Middle East, 2017-2023)",Education,4234.8,Research Institute,2022-08-21
